id	name	description	category
1	Workout equipment	This equipment is the best solution for your sport routine	Sport
2	Tennis racket	High-quality racket for competitive play	Sport
3	Yoga mat	Comfortable and durable yoga mat	Sport
4	Running shoes	Perfect fit for running and jogging	Sport
5	Swimming goggles	Clear vision underwater	Sport
6	Football	Professional quality football	Sport
7	Basketball	Ideal for indoor and outdoor play	Sport
8	Cycling helmet	Safety first for all cyclists	Sport
9	Climbing rope	Strong and durable climbing rope	Sport
10	Rowing machine	Efficient full-body workout	Sport
11	Guitar	High-quality acoustic guitar	Music
12	Piano	Digital piano with great sound	Music
13	Drum set	Complete set for drummers	Music
14	Flute	Professional flute with excellent tone	Music
15	Violin	Beautiful sound and finish	Music
16	Saxophone	Great for jazz music	Music
17	Keyboard	Electric keyboard with multiple functions	Music
18	Trumpet	Perfect for orchestras and bands	Music
19	Banjo	Unique sound for folk music	Music
20	Harmonica	Portable and fun instrument	Music
21	DJ controller	For aspiring DJs	Music
22	Studio microphone	High-quality recordings	Music
23	Headphones	Great sound quality for music lovers	Music
24	Violin strings	High-quality replacement strings	Music
25	Guitar picks	Assorted picks for guitarists	Music
